epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9634,0.87042,2.49978,1.34012,0.00359,0.90737,0.49802,0.27517,1.19158,2.99409,1.75507,0.00048,0.00048,0.00048
2,25.6905,1.03346,1.90922,1.44949,0.00376,0.94947,0.29448,0.12833,1.49841,3.10983,1.91916,0.00093149,0.00093149,0.00093149
3,32.3125,1.15634,1.74615,1.5151,0.25831,0.52842,0.37217,0.1831,1.62264,3.01757,2.94921,0.00133348,0.00133348,0.00133348
4,38.9425,1.18606,1.69116,1.56062,0.5578,0.33895,0.38687,0.17098,1.71633,2.54099,2.97714,0.00168597,0.00168597,0.00168597
5,45.4214,1.19752,1.62158,1.58047,0.49281,0.44632,0.42081,0.19496,1.4728,2.24459,2.1147,0.001604,0.001604,0.001604
6,51.657,1.22153,1.62799,1.57137,0.36442,0.44842,0.33773,0.13636,1.53277,2.26693,2.10204,0.001505,0.001505,0.001505
7,57.8657,1.18407,1.55076,1.53763,0.5861,0.60518,0.59917,0.33075,1.36722,1.84134,2.00938,0.001406,0.001406,0.001406
8,64.1484,1.15497,1.45588,1.52989,0.69261,0.65684,0.69071,0.38581,1.3167,1.60776,1.82097,0.001307,0.001307,0.001307
9,70.318,1.11707,1.40004,1.46521,0.66407,0.67789,0.69422,0.3952,1.28557,1.58256,1.73224,0.001208,0.001208,0.001208
10,76.5486,1.06796,1.31434,1.43559,0.73437,0.73338,0.74537,0.41607,1.33611,1.53487,1.8806,0.001109,0.001109,0.001109
11,118.69,1.15156,1.70885,1.68103,0.77114,0.68632,0.75046,0.45547,1.18334,1.64826,1.64606,0.00101,0.00101,0.00101
12,124.688,0.99677,1.4353,1.50306,0.71409,0.69053,0.70885,0.37469,1.36653,1.62107,1.89878,0.000911,0.000911,0.000911
13,130.611,1.00786,1.32945,1.49752,0.85352,0.77053,0.86015,0.61282,1.00029,1.13553,1.42633,0.000812,0.000812,0.000812
14,136.569,0.95959,1.27186,1.48571,0.84167,0.761,0.83986,0.56884,1.02043,1.16498,1.48589,0.000713,0.000713,0.000713
15,142.539,0.91462,1.20853,1.41319,0.90998,0.81053,0.89149,0.63301,0.93165,1.05963,1.36502,0.000614,0.000614,0.000614
16,148.523,0.88345,1.1287,1.37435,0.85454,0.841,0.90623,0.66934,0.89932,0.97651,1.35102,0.000515,0.000515,0.000515
17,154.669,0.83702,1.07701,1.3658,0.89744,0.86587,0.92335,0.70022,0.82574,0.91338,1.24677,0.000416,0.000416,0.000416
18,160.869,0.81982,1.02273,1.32608,0.93704,0.87789,0.93609,0.74602,0.7395,0.82774,1.17471,0.000317,0.000317,0.000317
19,167.108,0.73741,0.94966,1.24339,0.93598,0.87789,0.94086,0.74942,0.72708,0.81838,1.16033,0.000218,0.000218,0.000218
20,173.308,0.73244,0.93509,1.26122,0.94092,0.87789,0.94445,0.76827,0.69359,0.77599,1.13072,0.000119,0.000119,0.000119
